,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
4805,12_45,Real,48.55149015403673,48.652213071065326,"[1.8551139382261905, 0.0007229170286027622, 0]","[Client id: 12, ( id: 5, corrupt: False ), Client id: 87]","[0.0, 0.0, 1.019461943943713e-21, 7.229318156400356e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66919649111176e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4806,89_48,Real,47.54902090330825,48.6657713567896,"[2.165990255347486, 1.0167504534813592, 0]","[Client id: 89, ( id: 3, corrupt: False ), Client id: 33]","[0.0, 0.0, 0.0, 0.0, 1.1453081767202853e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4807,68_38,Real,48.06134827592962,48.68114538712038,"[0.987507791112043, 0.5197971111907723, 0]","[Client id: 68, ( id: 8, corrupt: False ), Client id: 10]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0165777320680959e-11, 0.0, 0.0, 1.01268256120911e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4808,17_59,Real,45.83448588867071,48.68787002499527,"[1.465030810789162, 2.7533841363245606, 0]","[Client id: 17, ( id: 3, corrupt: False ), Client id: 94]","[0.0, 0.0, 0.0, 0.0, 1.145308176720285e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4809,8_43,Real,48.29712261181167,48.69002161391756,"[0.5741814851566781, 0.292899002105888, 0]","[Client id: 8, ( id: 5, corrupt: False ), Client id: 7]","[0.0, 0.0, 1.019461943943713e-21, 7.229318156400356e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66919649111176e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4810,72_52,Real,48.27884084931679,48.69763084223601,"[0.47611968929392096, 0.3187899929192248, 0]","[Client id: 72, ( id: 2, corrupt: False ), Client id: 55]","[0.0, 7.941490306379527e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.790865517113926e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024737167594310458, 0.0, 0.0, 0.0]"
4811,99_53,Real,48.16088439133101,48.72633778209898,"[0.2881035830412099, 0.4654533907679782, 0]","[Client id: 99, ( id: 8, corrupt: False ), Client id: 20]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.149199588612864e-12, 0.0, 0.0, 9.11414305088199e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4812,29_49,Real,47.03024657999378,48.72814770835204,"[0.06543936140547844, 1.5979011283582694, 0]","[Client id: 29, ( id: 10, corrupt: False ), Client id: 22]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5263121984004446e-06, 0.0, 0.0, 0.0, 0.04701561065197428, 0.0, 0.0]"
4813,19_38,Real,47.06856798664938,48.729138592096795,"[1.3405044814907747, 1.560570605447427, 0]","[Client id: 19, ( id: 1, corrupt: False ), Client id: 75]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.314731469133651e-13, 0.0, 0.0, 0.0, 0.0, 6.910422275605375e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4814,24_51,Real,47.03974575014037,48.733086011067904,"[0.9817917164435968, 1.5933402609275398, 0]","[Client id: 24, ( id: 8, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.234279629751577e-12, 0.0, 0.0, 8.202728745793791e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4815,70_36,Real,48.64221559426893,48.75045817459129,"[0.10749144272472037, 0.008242580322358521, 0]","[Client id: 70, ( id: 1, corrupt: False ), Client id: 48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0385038467058467e-13, 0.0, 0.0, 0.0, 0.0, 6.334553752638261e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4816,5_54,Real,48.0774104876136,48.75500238598515,"[0.25138674377166587, 0.57759189837156, 0]","[Client id: 5, ( id: 7, corrupt: False ), Client id: 64]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6490250765946568e-05, 0.0, 0.0, 0.0, 0.0, 0.0]"
4817,58_51,Real,47.98611108487502,48.76818181130899,"[0.9549779916245859, 0.6820707264339791, 0]","[Client id: 58, ( id: 2, corrupt: False ), Client id: 92]","[0.0, 6.948804018082086e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5670073274746851e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002164502164502165, 0.0, 0.0, 0.0]"
4818,44_52,Real,48.3265638335214,48.7869026445688,"[0.22437666146685856, 0.360338811047404, 0]","[Client id: 44, ( id: 9, corrupt: False ), Client id: 46]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.89380202047722e-17, 0.0, 2.629889902063017e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4819,50_49,Real,48.55660113785872,48.78700317260307,"[0.7289795017174762, 0.1304020347443594, 0]","[Client id: 50, ( id: 1, corrupt: False ), Client id: 38]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.785295192813693e-13, 0.0, 0.0, 0.0, 0.0, 5.80667427325174e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4820,27_38,Real,48.405948140878756,48.79194139350401,"[1.2147065008258204, 0.285993252625258, 0]","[Client id: 27, ( id: 2, corrupt: False ), Client id: 30]","[0.0, 6.948804018082086e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5670073274746851e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002164502164502165, 0.0, 0.0, 0.0]"
4821,88_50,Real,48.633712176654385,48.79534235425686,"[1.5188589054321446, 0.06163017760247772, 0]","[Client id: 88, ( id: 10, corrupt: False ), Client id: 44]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.518794427428889e-06, 0.0, 0.0, 0.0, 0.033582579037124485, 0.0, 0.0]"
4822,34_56,Real,47.43540107612402,48.81086804991342,"[2.132721852146464, 1.2754669737893989, 0]","[Client id: 34, ( id: 10, corrupt: False ), Client id: 96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.518794427428889e-06, 0.0, 0.0, 0.0, 0.033582579037124485, 0.0, 0.0]"
4823,4_43,Real,47.95928821152323,48.826212895967586,"[1.1509548699010268, 0.7669246844443591, 0]","[Client id: 4, ( id: 4, corrupt: False ), Client id: 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007356634782955413, 0.0, 0.0, 0.0, 0.0]"
4824,42_45,Real,48.45863458625137,48.83957671513561,"[0.7065363353990565, 0.28094212888424186, 0]","[Client id: 42, ( id: 7, corrupt: False ), Client id: 65]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.649025076594657e-05, 0.0, 0.0, 0.0, 0.0, 0.0]"
4825,93_43,Real,48.65268412601456,48.85149336560047,"[0.9252022417253014, 0.09880923958590898, 0]","[Client id: 93, ( id: 6, corrupt: False ), Client id: 72]","[7.643576976490183e-24, 0.0, 0.0, 0.0, 0.0, 4.407185021605551e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.826818980926098e-11, 0.0, 0.0, 9.438370478200585e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4826,17_64,Real,48.69876704285508,48.863800102594034,"[0.9584646347782405, 0.06503305973896187, 0]","[Client id: 17, ( id: 4, corrupt: False ), Client id: 34]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007356634782955413, 0.0, 0.0, 0.0, 0.0]"
4827,87_43,Real,48.628335133057966,48.86480792311393,"[0.7666261876659719, 0.13647279005596705, 0]","[Client id: 87, ( id: 1, corrupt: False ), Client id: 27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.785295192813693e-13, 0.0, 0.0, 0.0, 0.0, 5.80667427325174e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4828,89_49,Real,48.678998900343046,48.864999048152605,"[1.1299779970347992, 0.0860001478095662, 0]","[Client id: 89, ( id: 1, corrupt: False ), Client id: 78]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.785295192813693e-13, 0.0, 0.0, 0.0, 0.0, 5.8066742732517405e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4829,36_47,Real,48.65737047874496,48.87891993356171,"[2.2210017711031997, 0.12154945481675744, 0]","[Client id: 36, ( id: 6, corrupt: False ), Client id: 25]","[7.643576976490183e-24, 0.0, 0.0, 0.0, 0.0, 4.407185021605551e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.826818980926098e-11, 0.0, 0.0, 9.438370478200585e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
