,Entropy
0,4.768392032997626
1,5.002028421086517
2,4.532254617082354
3,4.349217227523343
4,4.623296166665519
5,5.035570107738745
6,4.223707011441833
7,4.441438784506427
8,4.427817749960232
9,4.254402095233776
10,4.304177465447299
11,4.928398254515495
12,4.5439512108525015
13,5.084354275305433
14,4.969058818347892
15,4.3659449055478445
16,4.286609076270372
17,4.703842570066617
18,4.669575511317478
19,4.329967981704121
20,4.82880756660898
21,4.113006446997803
22,4.896529992196807
