,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
2838,90_31,Real,27.843302698942143,"[0.1419153179419483, 1.534363703141815, 0]","[Client id: 90, ( id: 2, corrupt: False ), Client id: 1]"
2839,7_29,Real,27.846337810937687,"[5.7032262339804625, 0.2132625841415987, 0]","[Client id: 7, ( id: 10, corrupt: False ), Client id: 71]"
2840,94_29,Real,27.86181341490583,"[0.4276814381597591, 0.4868657821293283, 0]","[Client id: 94, ( id: 5, corrupt: False ), Client id: 1]"
2841,25_48,Real,27.864285552559192,"[0.7385258904848401, 0.9003097301971704, 0]","[Client id: 25, ( id: 7, corrupt: False ), Client id: 73]"
2842,57_30,Real,27.87326316527587,"[1.4769427198175833, 0.14528435654249186, 0]","[Client id: 57, ( id: 3, corrupt: False ), Client id: 60]"
2843,90_32,Real,27.8827015324683,"[0.03939883352615843, 0.7150493693027786, 0]","[Client id: 90, ( id: 1, corrupt: False ), Client id: 58]"
2844,36_29,Real,27.888878140705426,"[0.48634039275275276, 1.1229975728830441, 0]","[Client id: 36, ( id: 4, corrupt: False ), Client id: 71]"
2845,43_18,Real,27.8919502370637,"[1.7636658278790909, 2.679988146818982, 0]","[Client id: 43, ( id: 2, corrupt: False ), Client id: 34]"
2846,34_31,Real,27.897135184612935,"[1.3673728967468768, 0.6303209413676358, 0]","[Client id: 34, ( id: 10, corrupt: False ), Client id: 12]"
2847,80_33,Real,27.91253243619973,"[1.4818691559697859, 1.0381993010757633, 0]","[Client id: 80, ( id: 8, corrupt: False ), Client id: 25]"
2848,2_26,Real,27.916281247106927,"[0.16239991894375402, 1.1702522290719073, 0]","[Client id: 2, ( id: 2, corrupt: False ), Client id: 46]"
2849,70_16,Real,27.934178252878375,"[4.192699929261277, 0.6096653620177704, 0]","[Client id: 70, ( id: 8, corrupt: False ), Client id: 72]"
2850,10_28,Real,27.938494094442987,"[0.29860473787147007, 2.621941268182748, 0]","[Client id: 10, ( id: 9, corrupt: False ), Client id: 34]"
2851,61_29,Real,27.938901709376537,"[0.3404637775818447, 0.15560682752531224, 0]","[Client id: 61, ( id: 9, corrupt: False ), Client id: 7]"
2852,76_31,Real,27.941622541102607,"[0.10097853994192046, 0.19585315737674378, 0]","[Client id: 76, ( id: 4, corrupt: False ), Client id: 15]"
2853,20_26,Real,27.94372402185235,"[3.019979851943529, 0.1664026677619837, 0]","[Client id: 20, ( id: 10, corrupt: False ), Client id: 12]"
2854,94_30,Real,27.94409782920057,"[0.08228441429474052, 0.2866884742538385, 0]","[Client id: 94, ( id: 6, corrupt: False ), Client id: 20]"
2855,42_29,Real,27.95233379119295,"[1.0299081451322207, 2.742558171975944, 0]","[Client id: 42, ( id: 10, corrupt: False ), Client id: 83]"
2856,84_23,Real,27.95244944892567,"[1.1603284157060902, 1.8816930631564257, 0]","[Client id: 84, ( id: 10, corrupt: False ), Client id: 31]"
2857,28_27,Real,27.952740042912485,"[1.7632372377177477, 0.48491976631291017, 0]","[Client id: 28, ( id: 1, corrupt: False ), Client id: 86]"
2858,95_33,Real,27.953368493586535,"[0.19939741468923416, 0.7357405849566204, 0]","[Client id: 95, ( id: 4, corrupt: False ), Client id: 46]"
2859,16_22,Real,27.992034869804474,"[0.7422421255002342, 1.7059375144022597, 0]","[Client id: 16, ( id: 7, corrupt: False ), Client id: 72]"
2860,70_17,Real,28.014835227529446,"[0.08065697465107127, 1.6963234972649768, 0]","[Client id: 70, ( id: 4, corrupt: False ), Client id: 41]"
2861,48_33,Real,28.015254596415772,"[0.5372194902961742, 1.1330024479197753, 0]","[Client id: 48, ( id: 4, corrupt: False ), Client id: 92]"
2862,69_30,Real,28.027252927164053,"[0.6402695538584158, 1.534065317944291, 0]","[Client id: 69, ( id: 10, corrupt: False ), Client id: 28]"
